"date","value","var"
2014-02-23,277.26993742141,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-02-24,278.299128732567,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-02-25,279.564010401922,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-02-26,279.337678819916,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-02-27,279.223225289271,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-02-28,278.354926226408,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-01,277.39825229589,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-02,277.684676306783,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-03,279.030722310708,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-04,280.073545874595,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-05,280.079267985952,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-06,279.79587139121,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-07,280.21511198037,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-08,280.770015498605,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-09,282.54474163384,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-10,283.867878778189,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-11,282.69385869197,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-12,281.099794077261,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-13,280.166386154219,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-14,280.370384260444,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-15,280.219621278343,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-16,280.389875658077,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-17,281.547926054351,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-18,280.416058873278,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-19,280.712855495568,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-20,282.596671826521,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-21,284.344718542834,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-22,284.66873248289,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-23,282.985320358599,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-24,282.155556750119,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-25,284.429008906888,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-26,285.116870192564,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-27,284.698088294405,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-28,283.937498016407,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-29,284.127569653471,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-30,284.561981449121,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-03-31,284.649406253094,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-01,285.514752718951,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-02,286.705122803448,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-03,287.649959512884,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-04,287.355201032389,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-05,286.88767840237,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-06,286.876474243997,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-07,287.354318293837,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-08,287.088263354024,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-09,287.327347024912,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-10,287.353122169413,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-11,287.960868461046,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-12,288.310772476965,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-13,289.061117808603,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-14,289.405555742454,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-15,289.524225361315,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-16,289.567179466448,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-17,289.855725756209,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-18,290.193136238641,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-19,290.12153968749,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-20,290.698576028184,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-21,291.275037166582,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-22,290.945742158143,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-23,291.578223005362,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-24,290.904621904563,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-25,290.435477465114,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-26,291.171362574456,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-27,291.760747836773,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-28,291.322905859391,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-29,292.087164433591,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-04-30,291.300499125553,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-01,290.819981327249,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-02,291.166175034467,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-03,291.326603921389,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
