temp,variables,coef,se,star
2.5,£¨-¡Þ£¬5],-0.423,0.169,*
7.5,£¨5£¬10],-0.552,0.16,***
12.5,£¨10£¬15],-0.318,0.113,**
17.5,£¨15£¬20],-0.075,0.069,
22.5,£¨20£¬25],0,0,-
27.5,£¨25£¬30],-0.027,0.058,
32.5,£¨30£¬35],-0.541,0.104,***
37.5,£¨35£¬+¡Þ),-1.45,0.182,***
