temp,variables,coef,se,star
2.5,£¨-¡Þ£¬5],-0.437,0.371,
7.5,£¨5£¬10],-0.835,0.295,***
12.5,£¨10£¬15],-0.588,0.179,***
17.5,£¨15£¬20],-0.15,0.114,
22.5,£¨20£¬25],0,0,-
27.5,£¨25£¬30],-0.0397,0.0683,
32.5,£¨30£¬35],-0.87,0.102,***
37.5,£¨35£¬+¡Þ),-2.506,0.23,***
