temp,variables,coef,se,star
2.5,（-∞，5],-0.58,0.505,
7.5,（5，10],-0.615,0.396,
12.5,（10，15],-0.537,0.248,**
17.5,（15，20],-0.18,0.131,
22.5,（20，25],0,0,-
27.5,（25，30],-0.0729,0.104,
32.5,（30，35],-0.852,0.203,***
37.5,（35，+∞),-2.874,0.264,***
